,CASE_ENQUIRY_ID,Source,storm_event,Latitude,Longitude
56671,101002323590,Constituent Call,Bombogenesis,42.2598,-71.1519
56672,101002323589,Citizens Connect App,Bombogenesis,42.3436,-71.0864
56673,101002323588,Citizens Connect App,Bombogenesis,42.3344,-71.1037
56674,101002323587,Citizens Connect App,Bombogenesis,42.343999999999994,-71.1477
56675,101002323586,Citizens Connect App,Bombogenesis,42.3415,-71.1511
56676,101002323585,Citizens Connect App,Bombogenesis,42.3201,-71.0749
56677,101002323584,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56678,101002323583,Self Service,Bombogenesis,42.3185,-71.0534
56679,101002323581,Citizens Connect App,Bombogenesis,42.336999999999996,-71.027
56680,101002323580,Citizens Connect App,Bombogenesis,42.3506,-71.0577
56681,101002323579,Self Service,Bombogenesis,42.3306,-71.0545
56682,101002323578,Citizens Connect App,Bombogenesis,42.2858,-71.1493
56683,101002323577,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56684,101002323575,Citizens Connect App,Bombogenesis,42.3196,-71.0671
56685,101002323574,Constituent Call,Bombogenesis,42.3154,-71.1069
56686,101002323572,Citizens Connect App,Bombogenesis,42.2622,-71.1231
56687,101002323571,Constituent Call,Bombogenesis,42.3172,-71.0599
56688,101002323570,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56689,101002323569,Citizens Connect App,Bombogenesis,42.2855,-71.1468
56690,101002323566,Citizens Connect App,Bombogenesis,42.3609,-71.1436
56691,101002323564,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56692,101002323563,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56693,101002323562,Citizens Connect App,Bombogenesis,42.3448,-71.0796
56694,101002323561,Citizens Connect App,Bombogenesis,42.3601,-71.1441
56695,101002323560,Citizens Connect App,Bombogenesis,42.3599,-71.1442
56696,101002323558,Citizens Connect App,Bombogenesis,42.3741,-71.0608
56697,101002323557,Citizens Connect App,Bombogenesis,42.3315,-71.0564
56698,101002323556,Citizens Connect App,Bombogenesis,42.3308,-71.0357
56699,101002323555,Employee Generated,Bombogenesis,42.3234,-71.0932
56700,101002323552,Constituent Call,Bombogenesis,42.3888,-71.0045
56701,101002323550,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56702,101002323548,Citizens Connect App,Bombogenesis,42.2902,-71.0926
56703,101002323547,Citizens Connect App,Bombogenesis,42.3365,-71.1494
56704,101002323546,Citizens Connect App,Bombogenesis,42.2909,-71.0919
56705,101002323545,Citizens Connect App,Bombogenesis,42.2857,-71.1369
56706,101002323541,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56707,101002323540,Citizens Connect App,Bombogenesis,42.2855,-71.1364
56708,101002323539,Citizens Connect App,Bombogenesis,42.3383,-71.0482
56709,101002323537,Citizens Connect App,Bombogenesis,42.3551,-71.1593
56710,101002323536,Citizens Connect App,Bombogenesis,42.2714,-71.0689
56711,101002323535,Citizens Connect App,Bombogenesis,42.3383,-71.0482
56712,101002323534,Citizens Connect App,Bombogenesis,42.3473,-71.0981
56713,101002323532,Constituent Call,Bombogenesis,42.3435,-71.0903
56714,101002323531,Citizens Connect App,Bombogenesis,42.3419,-71.0632
56715,101002323529,Citizens Connect App,Bombogenesis,42.3392,-71.0675
56716,101002323528,Constituent Call,Bombogenesis,42.318999999999996,-71.0791
56717,101002323527,Self Service,Bombogenesis,42.251000000000005,-71.1185
56718,101002323525,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56719,101002323524,Citizens Connect App,Bombogenesis,42.3497,-71.1633
56720,101002323523,Constituent Call,Bombogenesis,42.3326,-71.0402
56721,101002323522,Citizens Connect App,Bombogenesis,42.2921,-71.0493
56722,101002323521,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56723,101002323519,Constituent Call,Bombogenesis,42.2719,-71.0684
56724,101002323518,Constituent Call,Bombogenesis,42.3594,-71.0587
56725,101002323517,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56726,101002323516,Citizens Connect App,Bombogenesis,42.3493,-71.0495
56727,101002323515,City Worker App,Bombogenesis,42.3594,-71.0587
56728,101002323514,Citizens Connect App,Bombogenesis,42.2854,-71.12899999999999
56729,101002323513,Constituent Call,Bombogenesis,42.3773,-71.0616
56730,101002323512,Citizens Connect App,Bombogenesis,42.3363,-71.1502
56731,101002323511,Citizens Connect App,Bombogenesis,42.3316,-71.0535
56732,101002323510,Constituent Call,Bombogenesis,42.2706,-71.0996
56733,101002323509,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56734,101002323508,Employee Generated,Bombogenesis,42.3594,-71.0587
56735,101002323507,Citizens Connect App,Bombogenesis,42.3487,-71.0696
56736,101002323506,Constituent Call,Bombogenesis,42.3594,-71.0587
56737,101002323505,Constituent Call,Bombogenesis,42.287,-71.1467
56738,101002323504,Self Service,Bombogenesis,42.3696,-71.0329
56739,101002323502,Citizens Connect App,Bombogenesis,42.3374,-71.0931
56740,101002323501,Self Service,Bombogenesis,42.3052,-71.1058
56741,101002323499,Citizens Connect App,Bombogenesis,42.3146,-71.0664
56742,101002323498,Citizens Connect App,Bombogenesis,42.3812,-71.064
56743,101002323497,Constituent Call,Bombogenesis,42.2895,-71.1224
56744,101002323496,Constituent Call,Bombogenesis,42.3325,-71.042
56745,101002323495,Citizens Connect App,Bombogenesis,42.358000000000004,-71.0722
56746,101002323494,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56747,101002323493,Constituent Call,Bombogenesis,42.3127,-71.0917
56748,101002323492,Constituent Call,Bombogenesis,42.3068,-71.0832
