,group1_num,Analog,Digital,total_calls,closed_internal,duration,duration_analog,duration_digital
0,Group 1,2598,610,3208,3208,173.6683292,166.0642802,206.0540984
1,Group 2,1652,194,1846,1846,238.6099675,233.1047215,285.4896907
2,Group 3,1451,292,1743,1743,246.9443488,231.5120606,323.630137
3,Group 4,2156,496,2652,2652,249.1983409,239.5426716,291.1693548
