,geoid2,geoid,residential_order,percent_res,income_order,median_inc
53,BOS25025050300,25025050300,147,0.257492574,169,15893
71,BOS25025061101,25025061101,166,0.026130109,170,14500
178,BOS25025981502,25025981502,33,0.827941935,171,
179,BOS25025981600,25025981600,127,0.400790228,172,
172,BOS25025980700,25025980700,162,0.121037445,173,
173,BOS25025981000,25025981000,169,0.010197837,174,
176,BOS25025981202,25025981202,172,0,175,
180,BOS25025981700,25025981700,173,0,176,
171,BOS25025980300,25025980300,174,0,177,
175,BOS25025981201,25025981201,175,0,178,
170,BOS25025980101,25025980101,177,0,179,
