,user,mentions,replies,group,max,ratio
4,boston25,151,28,local_news,151,0.18543046357615894
8,bostonglobe,251,25,local_news,251,0.099601593625498
17,ericfisher,271,23,weather,271,0.08487084870848709
21,jimcantore,159,29,weather,159,0.18238993710691823
24,marty_walsh,436,14,local_gov,436,0.03211009174311927
28,massgovernor,207,16,state_gov,207,0.07729468599033816
50,weatherchannel,215,10,weather,215,0.046511627906976744
