,user,mentions,replies,group,max,ratio
7,bostonfire,841,63,local_gov,841,0.07491082045184304
10,bostonpolice,1623,99,local_gov,1623,0.06099815157116451
26,massema,1247,91,state_gov,1247,0.07297514033680834
30,mbta,1214,160,state_gov,1214,0.13179571663920922
37,nwsboston,3517,319,weather,3517,0.0907023030992323
51,wx1box,724,71,weather,724,0.09806629834254144
