,group1_num,Analog,Digital,total_calls,closed_internal,duration,duration_analog,duration_digital
0,Group 1,4132,421,4553,4553,161.2949703,158.9172314,184.631829
1,Group 2,2545,118,2663,2663,192.3368382,195.2396857,129.7288136
2,Group 3,1815,192,2007,2007,213.4912805,201.5520661,326.3541667
3,Group 4,2589,276,2865,2865,218.6226876,210.0401699,299.1304348
