,group1_num,Analog,Digital,total_calls,closed_internal,duration,duration_analog,duration_digital
0,Group 1,1306,1605,2911,2911,48.92064583,56.26646248,42.94330218
1,Group 2,937,704,1641,1641,62.84887264,73.94236926,48.08380682
2,Group 3,742,719,1461,1461,74.99931554,86.84231806,62.77746871
3,Group 4,1408,2556,3964,3964,63.20080727,61.05965909,64.38028169
