,CASE_ENQUIRY_ID,Source,storm_event,Latitude,Longitude
13093,101002395207,Constituent Call,Skylar,42.3347,-71.077
13094,101002395206,Citizens Connect App,Skylar,42.3413,-71.0805
13095,101002395205,Constituent Call,Skylar,42.3302,-71.035
13096,101002395204,Constituent Call,Skylar,42.3594,-71.0587
13097,101002395203,Constituent Call,Skylar,42.2749,-71.069
13098,101002395202,Constituent Call,Skylar,42.3497,-71.0847
13099,101002395201,Citizens Connect App,Skylar,42.318999999999996,-71.0811
13100,101002395200,Citizens Connect App,Skylar,42.3594,-71.0587
13101,101002395199,Self Service,Skylar,42.355,-71.0607
13102,101002395198,Constituent Call,Skylar,42.3594,-71.0587
13103,101002395197,Citizens Connect App,Skylar,42.3422,-71.071
13104,101002395196,Constituent Call,Skylar,42.2665,-71.1533
13105,101002395195,Constituent Call,Skylar,42.3234,-71.1134
13106,101002395194,Citizens Connect App,Skylar,42.3152,-71.1027
13107,101002395193,Citizens Connect App,Skylar,42.3164,-71.1036
13108,101002395192,Constituent Call,Skylar,42.3594,-71.0587
13109,101002395191,Citizens Connect App,Skylar,42.3594,-71.0587
13110,101002395189,Citizens Connect App,Skylar,42.3594,-71.0587
13111,101002395187,Citizens Connect App,Skylar,42.376000000000005,-71.032
13112,101002395185,Constituent Call,Skylar,42.3372,-71.0694
13113,101002395184,Constituent Call,Skylar,42.3159,-71.0632
13114,101002395183,Constituent Call,Skylar,42.3594,-71.0587
13115,101002395182,Citizens Connect App,Skylar,42.3453,-71.03699999999999
13116,101002395181,Citizens Connect App,Skylar,42.3464,-71.0733
13117,101002395180,Self Service,Skylar,42.3357,-71.1499
13118,101002395179,Constituent Call,Skylar,42.2888,-71.1654
13119,101002395178,Constituent Call,Skylar,42.2719,-71.0779
13120,101002395177,Citizens Connect App,Skylar,42.3464,-71.0733
13121,101002395176,Constituent Call,Skylar,42.2647,-71.1043
13122,101002395175,Constituent Call,Skylar,42.3111,-71.0877
13123,101002395174,Citizens Connect App,Skylar,42.3466,-71.07300000000001
13124,101002395173,Citizens Connect App,Skylar,42.3594,-71.0587
13125,101002395172,Citizens Connect App,Skylar,42.3294,-71.0829
