,user,mentions,replies,group,max,ratio
0,7news,107,12,local_news,107,0.11214953271028037
3,bostinno,106,1,local_news,106,0.009433962264150943
14,cityofboston,115,21,local_gov,115,0.1826086956521739
20,harveywcvb,135,3,weather,135,0.022222222222222223
22,jreineron7,107,5,weather,107,0.04672897196261682
36,necn,101,14,local_news,101,0.13861386138613863
39,onlyinbos,115,12,local_news,115,0.10434782608695652
49,wcvb,109,20,local_news,109,0.1834862385321101
