,user,mentions,replies,group,max
7,bostonfire,841,63,local_gov,841
10,bostonpolice,1623,99,local_gov,1623
26,massema,1247,91,state_gov,1247
30,mbta,1214,160,state_gov,1214
37,nwsboston,3517,319,weather,3517
51,wx1box,724,71,weather,724
