storm_event,duration_analog,duration_digital,duration_internal
Bombogenesis,0.975999244,0.999433053,0.143343097
Juno,6.003738829,1.522706548,1.279500274
Nemo,4.550351953,0.534741144,3.21849455
Normal,1.988455988,1.747474747,0.57972583
Skylar,0.428188749,0.452915722,0.203997527
